Nominal Size,"Outside Diameter, inches","Wall Thickness, inches","Internal Diameter, inches","Internal Diameter, feet","Internal Area, square feet","e/D, Relative Roughness","e, Absolute Roughness, feet"
0.125,0.405,0.1,0.205,0.0171,0.00023,0.117073,0.002
0.25,0.54,0.123,0.294,0.0245,0.00047,0.081633,0.002
0.375,0.675,0.127,0.421,0.0351,0.00097,0.057007,0.002
0.5,0.84,0.149,0.542,0.0452,0.0016,0.04428,0.002
0.75,1.05,0.157,0.736,0.0613,0.00295,0.032609,0.002
1,1.315,0.182,0.951,0.0793,0.00493,0.025237,0.002
1.25,1.66,0.194,1.272,0.106,0.00882,0.018868,0.002
1.5,1.9,0.203,1.494,0.1245,0.01217,0.016064,0.002
2,2.375,0.221,1.933,0.1611,0.02038,0.012416,0.002
2.5,2.875,0.28,2.315,0.1929,0.02923,0.010367,0.002
3,3.5,0.304,2.892,0.241,0.04562,0.008299,0.002
3.5,4,0.321,3.358,0.2798,0.0615,0.007147,0.002
4,4.5,0.341,3.818,0.3182,0.07951,0.006286,0.002
5,5.562,0.375,4.812,0.401,0.12629,0.004988,0.002
6,6.625,0.437,5.751,0.4793,0.18039,0.004173,0.002
8,8.625,0.5,7.625,0.6354,0.31711,0.003148,0.002
10,10.75,0.5,9.75,0.8125,0.51849,0.002462,0.002
12,12.75,-,Not an available size,#VALUE!,#VALUE!,#VALUE!,0.002
