,numeric,numeric,numeric,numeric,numeric,numeric,numeric
heading,Temp. (°F),Spec. Volume (Cu Ft/Lb),SG 39.2 °F Ref,SG 60 °F Ref,SG 68 °F Ref,Spec. Weight (Lbf/Cu Ft),Vapor Pressure (Psi Abs)
data,32,0.01602,1.000,1.001,1.002,62.42,0.088
data,35,0.01602,1.000,1.001,1.002,62.42,0.1
data,40,0.01602,1.000,1.001,1.002,62.42,0.1217
data,50,0.01603,0.999,1.001,1.002,62.38,0.1781
data,60,0.01604,0.999,1.000,1.001,62.34,0.2563
data,70,0.01606,0.998,0.999,1.000,62.27,0.3631
data,80,0.01608,0.996,0.998,0.999,62.19,0.5069
data,90,0.0161,0.995,0.996,0.997,62.11,0.6982
data,100,0.01613,0.993,0.994,0.995,62.00,0.9492
data,120,0.0162,0.989,0.99,0.991,61.73,1.692
data,140,0.01629,0.983,0.985,0.986,61.39,2.889
data,160,0.01639,0.977,0.979,0.979,61.01,4.741
data,180,0.01651,0.970,0.972,0.973,60.57,7.51
data,200,0.01663,0.963,0.964,0.966,60.13,11.526
data,212,0.01672,0.958,0.959,0.96,59.81,14.696
data,220,0.01677,0.955,0.956,0.957,59.63,17.186
data,240,0.01692,0.947,0.948,0.949,59.1,24.97
data,260,0.01709,0.938,0.939,0.94,58.51,35.43
data,280,0.01726,0.928,0.929,0.93,58.0,49.2
data,300,0.01745,0.918,0.919,0.92,57.31,67.01
data,320,0.01765,0.908,0.909,0.91,56.66,89.66
data,340,0.01787,0.896,0.898,0.899,55.96,118.01
data,360,0.01811,0.885,0.886,0.887,55.22,153.04
data,380,0.01836,0.873,0.874,0.875,54.47,195.77
data,400,0.01864,0.859,0.86,0.862,53.65,247.31
data,420,0.01894,0.846,0.847,0.848,52.8,308.83
data,440,0.01926,0.832,0.833,0.834,51.92,381.59
data,460,0.0196,0.817,0.818,0.819,51.02,466.9
data,480,0.02,0.801,0.802,0.803,50,566.1
data,500,0.0204,0.785,0.786,0.787,49.02,680.8
data,520,0.0209,0.765,0.766,0.767,47.85,812.4
data,540,0.0215,0.746,0.747,0.748,46.51,962.5
data,560,0.0221,0.726,0.727,0.728,45.3,1133.1
data,580,0.0228,0.703,0.704,0.704,43.9,1325.8
data,600,0.0236,0.678,0.679,0.68,42.3,1542.9
data,620,0.0247,0.649,0.65,0.65,40.5,1786.6
data,640,0.026,0.617,0.618,0.618,38.5,2059.7
data,660,0.0278,0.577,0.577,0.578,36,2365.4
data,680,0.0305,0.525,0.526,0.527,32.8,2708.1
data,700,0.0369,0.434,0.435,0.435,27.1,3093.7
data,705.4,0.0503,0.319,0.319,0.32,19.9,3206.2
